prod_id,prod_name,customer_review,customer_rating
itm42ba3da4c8d78,product reviews,Good,5.0
itm42ba3da4c8d78,product reviews,Nice product,4.0
itm42ba3da4c8d78,product reviews,Delightful,4.0
itm42ba3da4c8d78,product reviews,Awesome,5.0
itm42ba3da4c8d78,product reviews,Worth the money,4.0
itm42ba3da4c8d78,product reviews,Excellent,5.0
itm42ba3da4c8d78,product reviews,Hated it!,4.0
itm42ba3da4c8d78,product reviews,Good,3.0
itm42ba3da4c8d78,product reviews,Must buy!,5.0
itm42ba3da4c8d78,product reviews,Awesome,5.0
itm42ba3da4c8d78,product reviews,Pretty good,4.0
itm42ba3da4c8d78,product reviews,Delightful,4.0
itm42ba3da4c8d78,product reviews,Must buy!,5.0
itm42ba3da4c8d78,product reviews,Wonderful,5.0
itm42ba3da4c8d78,product reviews,Decent product,3.0
itm42ba3da4c8d78,product reviews,Excellent,5.0
itm42ba3da4c8d78,product reviews,Nice product,4.0
itm42ba3da4c8d78,product reviews,Best in the market!,5.0
itm42ba3da4c8d78,product reviews,Nice,3.0
itm42ba3da4c8d78,product reviews,Best in the market!,5.0
